Card,Set,Card Type,Cost,Card-de,Card-fr,Card-nl,Card-es,Card-it,Card-pl,Card-fi,Card-cz
Adventurer,Main Set,Action,6,Abenteurer,Aventurier,Avonturier,Aventurero,Esploratore,Odkrywca,Seikkailija,Dobrodruh
Alchemist,Alchemy,Action,P3,Alchemist,Alchimiste,Alchemist,Alquimista,Alchimista,,Alkemisti,
Ambassador,Seaside,Action,3,Botschafter,Ambassadeur,Boodschapper,Embajador,Ambasciatore,,Suurlähettiläs,Velvyslanec
Apothecary,Alchemy,Action,P2,Apotheker,Apothicaire,Apotheker,Boticario,Farmacista,,Apteekkari,
Apprentice,Alchemy,Action,5,Lehrling,Apprenti,Leerling,Aprendiz,Apprendista,,Oppipoika,
Bank,Prosperity,Treasure,7,Bank,Banque,Bank,Banco,Banca,,Pankki,
Baron,Intrigue,Action,4,Baron,Baron,Baron,Barón,Barone,Baron,Paroni,Baron
Bazaar,Seaside,Action,5,Bazar,Bazar,Bazaar,Bazar,Bazar,,Basaari,Bazar
Bishop,Prosperity,Action,4,Bischof,Evèque,Bisschop,Obispo,Vescovo,,Piispa,
Black Market,Promo,Action,3,Schwarzmarkt,Marché noir,Zwarte Markt,Mercado Negro,Mercato Nero,Czarny Rynek,Musta Pörssi,?erný trh
Border Village,Hinterlands,Action,6,Grenzdorf,Village frontalier,,,,,,
Bridge,Intrigue,Action,4,Brücke,Pont,Brug,Puente,Ponte,Most,Silta,Most
Bureaucrat,Main Set,Action Attack,4,Bürokrat,Bureaucrate,Bureaucraat,Burócrata,Burocrate,Urz?dnik,Byrokraatti,Ú?edník
Cache,Hinterlands,Treasure,5,Schatztruhe,Cache,,,,,,
Caravan,Seaside,Action Duration,4,Karawane,Caravane,Karavaan,Caravana,Caravana,,Karavaani,Karavana
Cartographer,Hinterlands,Action,5,Kartograph,Cartographe,,,,,,
Cellar,Main Set,Action,2,Keller,Cave,Kelder,Sótano,Sotterraneo,Piwnica,Kellari,Sklepení
